word,category
church,colour
racism,colour
waited,colour
cooper,colour
treaty,colour
intent,colour
pursue,colour
casual,colour
symbol,colour
cruise,colour
fisher,fruit_vegetable
booked,fruit_vegetable
brooks,fruit_vegetable
upside,fruit_vegetable
bullet,fruit_vegetable
messed,fruit_vegetable
borrow,fruit_vegetable
bounce,fruit_vegetable
behave,fruit_vegetable
pledge,fruit_vegetable
abrogating,flower
adulterate,flower
airlifting,flower
aspirating,flower
acrophobia,flower
amiability,flower
antiracist,flower
ambulation,flower
activeness,flower
annualised,flower
build,colour
funny,colour
peace,colour
below,colour
offer,colour
sleep,colour
ahead,colour
eight,colour
cross,colour
miles,colour
demean,fruit_vegetable
dotcom,fruit_vegetable
dongle,fruit_vegetable
dozing,fruit_vegetable
dollop,fruit_vegetable
disuse,fruit_vegetable
darted,fruit_vegetable
doused,fruit_vegetable
dished,fruit_vegetable
darned,fruit_vegetable
gingerly,flower
ganglion,flower
glycerol,flower
guaranty,flower
gestured,flower
grizzled,flower
gargoyle,flower
gravitas,flower
graphing,flower
glycerin,flower
shot,colour
rate,colour
view,colour
fast,colour
film,colour
site,colour
hold,colour
page,colour
gone,colour
eyes,colour
awfully,fruit_vegetable
assault,fruit_vegetable
applaud,fruit_vegetable
alarmed,fruit_vegetable
auditor,fruit_vegetable
anomaly,fruit_vegetable
annexed,fruit_vegetable
acrylic,fruit_vegetable
analyse,fruit_vegetable
atheism,fruit_vegetable
mesquite,flower
munchies,flower
motherly,flower
mightily,flower
mandible,flower
meteoric,flower
mouthing,flower
moveable,flower
meniscus,flower
minstrel,flower
browning,colour
anterior,colour
battered,colour
bragging,colour
bohemian,colour
behaving,colour
breeders,colour
burglary,colour
brightly,colour
blending,colour
held,fruit_vegetable
star,fruit_vegetable
cost,fruit_vegetable
meet,fruit_vegetable
rest,fruit_vegetable
wish,fruit_vegetable
died,fruit_vegetable
land,fruit_vegetable
type,fruit_vegetable
king,fruit_vegetable
divest,flower
darken,flower
damsel,flower
dipole,flower
dampen,flower
deftly,flower
daemon,flower
dinghy,flower
detest,flower
drowsy,flower
bailed,colour
excite,colour
invoke,colour
payout,colour
ignite,colour
salted,colour
starch,colour
infect,colour
repaid,colour
injure,colour
spurred,fruit_vegetable
scarred,fruit_vegetable
sharper,fruit_vegetable
studded,fruit_vegetable
snoring,fruit_vegetable
shopper,fruit_vegetable
spectra,fruit_vegetable
slaying,fruit_vegetable
sulphur,fruit_vegetable
saddest,fruit_vegetable
surrogate,flower
sixteenth,flower
smackdown,flower
surveying,flower
spaceship,flower
shoreline,flower
squeezing,flower
stumbling,flower
shameless,flower
satirical,flower
bunk,colour
trey,colour
ammo,colour
aria,colour
ache,colour
deco,colour
noir,colour
lieu,colour
iced,colour
seam,colour
iconic,fruit_vegetable
dental,fruit_vegetable
indoor,fruit_vegetable
potter,fruit_vegetable
pastor,fruit_vegetable
immune,fruit_vegetable
parade,fruit_vegetable
inform,fruit_vegetable
poison,fruit_vegetable
roster,fruit_vegetable
sunk,flower
funk,flower
bred,flower
mold,flower
lump,flower
null,flower
tore,flower
apex,flower
atom,flower
warn,flower
drive,colour
break,colour
stand,colour
guess,colour
title,colour
cover,colour
learn,colour
stage,colour
event,colour
added,colour
centred,fruit_vegetable
carving,fruit_vegetable
curling,fruit_vegetable
curator,fruit_vegetable
chimney,fruit_vegetable
cyclone,fruit_vegetable
cynical,fruit_vegetable
convict,fruit_vegetable
cyclist,fruit_vegetable
comrade,fruit_vegetable
